hour,price,charge_mw,discharge_mw,soc_mwh,ts,actual_price,daily_profit
10,74.35,0.0,20.0,54.0,2024-01-05 10:00:00,74.35,0.0
11,41.35,20.0,0.0,72.0,2024-01-05 11:00:00,41.35,0.0
12,42.39,20.0,0.0,90.0,2024-01-05 12:00:00,42.39,0.0
13,84.19,0.0,0.0,90.0,2024-01-05 13:00:00,84.19,0.0
14,80.41,0.0,0.0,90.0,2024-01-05 14:00:00,80.41,0.0
15,87.62,0.0,0.0,90.0,2024-01-05 15:00:00,87.62,0.0
16,71.68,0.0,0.0,90.0,2024-01-05 16:00:00,71.68,0.0
17,122.38,0.0,20.0,67.777778,2024-01-05 17:00:00,122.38,0.0
18,102.18,0.0,20.0,45.555556,2024-01-05 18:00:00,102.18,0.0
19,110.1,0.0,20.0,23.333333,2024-01-05 19:00:00,110.1,0.0
20,101.32,0.0,0.0,23.333333,2024-01-05 20:00:00,101.32,0.0
21,101.39,0.0,3.0,20.0,2024-01-05 21:00:00,101.39,0.0
22,67.69,0.0,0.0,20.0,2024-01-05 22:00:00,67.69,0.0
23,55.54,0.0,0.0,20.0,2024-01-05 23:00:00,55.54,0.0
0,30.48,0.0,12.6,36.0,2024-01-06 00:00:00,30.48,6762.460124899999
1,8.99,20.0,0.0,54.0,2024-01-06 01:00:00,8.99,0.0
2,-2.48,20.0,0.0,72.0,2024-01-06 02:00:00,-2.48,0.0
3,24.58,0.0,0.0,72.0,2024-01-06 03:00:00,24.58,0.0
4,13.74,20.0,0.0,90.0,2024-01-06 04:00:00,13.74,0.0
5,40.12,0.0,0.0,90.0,2024-01-06 05:00:00,40.12,0.0
6,43.34,0.0,16.2,72.0,2024-01-06 06:00:00,43.34,0.0
7,40.95,0.0,0.0,72.0,2024-01-06 07:00:00,40.95,0.0
8,30.62,20.0,0.0,90.0,2024-01-06 08:00:00,30.62,0.0
9,57.62,0.0,16.2,72.0,2024-01-06 09:00:00,57.62,0.0
10,51.13,0.0,0.0,72.0,2024-01-06 10:00:00,51.13,0.0
11,39.8,20.0,0.0,90.0,2024-01-06 11:00:00,39.8,0.0
12,80.27,0.0,20.0,67.777778,2024-01-06 12:00:00,80.27,0.0
13,56.45,4.691358,0.0,72.0,2024-01-06 13:00:00,56.45,0.0
14,47.89,20.0,0.0,90.0,2024-01-06 14:00:00,47.89,0.0
15,60.7,0.0,0.0,90.0,2024-01-06 15:00:00,60.7,0.0
16,57.16,0.0,0.0,90.0,2024-01-06 16:00:00,57.16,0.0
17,104.53,0.0,20.0,67.777778,2024-01-06 17:00:00,104.53,0.0
18,109.06,0.0,20.0,45.555556,2024-01-06 18:00:00,109.06,0.0
19,106.87,0.0,20.0,23.333333,2024-01-06 19:00:00,106.87,0.0
20,89.89,0.0,3.0,20.0,2024-01-06 20:00:00,89.89,0.0
21,82.74,0.0,0.0,20.0,2024-01-06 21:00:00,82.74,0.0
22,47.92,0.0,0.0,20.0,2024-01-06 22:00:00,47.92,0.0
23,45.36,0.0,0.0,20.0,2024-01-06 23:00:00,45.36,0.0
0,23.18,4.4444444,0.0,54.0,2024-01-07 00:00:00,23.18,6680.295508288
1,26.98,0.0,0.0,54.0,2024-01-07 01:00:00,26.98,0.0
2,28.89,0.0,0.0,54.0,2024-01-07 02:00:00,28.89,0.0
3,-10.35,20.0,0.0,72.0,2024-01-07 03:00:00,-10.35,0.0
4,21.21,20.0,0.0,90.0,2024-01-07 04:00:00,21.21,0.0
5,37.93,0.0,0.0,90.0,2024-01-07 05:00:00,37.93,0.0
6,38.01,0.0,0.0,90.0,2024-01-07 06:00:00,38.01,0.0
7,37.67,0.0,0.0,90.0,2024-01-07 07:00:00,37.67,0.0
8,52.04,0.0,20.0,67.777778,2024-01-07 08:00:00,52.04,0.0
9,38.34,4.691358,0.0,72.0,2024-01-07 09:00:00,38.34,0.0
10,-16.37,20.0,0.0,90.0,2024-01-07 10:00:00,-16.37,0.0
11,69.16,0.0,0.0,90.0,2024-01-07 11:00:00,69.16,0.0
12,70.13,0.0,16.2,72.0,2024-01-07 12:00:00,70.13,0.0
13,52.06,20.0,0.0,90.0,2024-01-07 13:00:00,52.06,0.0
14,58.78,0.0,0.0,90.0,2024-01-07 14:00:00,58.78,0.0
15,77.14,0.0,0.0,90.0,2024-01-07 15:00:00,77.14,0.0
16,74.22,0.0,0.0,90.0,2024-01-07 16:00:00,74.22,0.0
17,93.41,0.0,20.0,67.777778,2024-01-07 17:00:00,93.41,0.0
18,103.7,0.0,20.0,45.555556,2024-01-07 18:00:00,103.7,0.0
19,93.84,0.0,20.0,23.333333,2024-01-07 19:00:00,93.84,0.0
20,91.65,0.0,3.0,20.0,2024-01-07 20:00:00,91.65,0.0
21,55.5,0.0,0.0,20.0,2024-01-07 21:00:00,55.5,0.0
22,53.61,0.0,0.0,20.0,2024-01-07 22:00:00,53.61,0.0
23,37.66,0.0,0.0,20.0,2024-01-07 23:00:00,37.66,0.0
0,34.52,0.0,0.0,50.0,2024-01-08 00:00:00,34.52,6067.323556996001
1,25.42,20.0,0.0,68.0,2024-01-08 01:00:00,25.42,0.0
2,40.09,0.0,0.0,68.0,2024-01-08 02:00:00,40.09,0.0
3,38.88,0.0,0.0,68.0,2024-01-08 03:00:00,38.88,0.0
4,30.41,4.4444444,0.0,72.0,2024-01-08 04:00:00,30.41,0.0
5,28.25,20.0,0.0,90.0,2024-01-08 05:00:00,28.25,0.0
6,32.93,0.0,0.0,90.0,2024-01-08 06:00:00,32.93,0.0
7,50.17,0.0,0.0,90.0,2024-01-08 07:00:00,50.17,0.0
8,61.74,0.0,0.0,90.0,2024-01-08 08:00:00,61.74,0.0
9,79.14,0.0,16.2,72.0,2024-01-08 09:00:00,79.14,0.0
10,62.64,0.0,0.0,72.0,2024-01-08 10:00:00,62.64,0.0
11,50.99,20.0,0.0,90.0,2024-01-08 11:00:00,50.99,0.0
12,66.15,0.0,0.0,90.0,2024-01-08 12:00:00,66.15,0.0
13,82.69,0.0,0.0,90.0,2024-01-08 13:00:00,82.69,0.0
14,65.02,0.0,0.0,90.0,2024-01-08 14:00:00,65.02,0.0
15,92.9,0.0,3.0,86.666667,2024-01-08 15:00:00,92.9,0.0
16,90.77,0.0,0.0,86.666667,2024-01-08 16:00:00,90.77,0.0
17,108.61,0.0,20.0,64.444444,2024-01-08 17:00:00,108.61,0.0
18,135.44,0.0,20.0,42.222222,2024-01-08 18:00:00,135.44,0.0
19,90.33,0.0,0.0,42.222222,2024-01-08 19:00:00,90.33,0.0
20,107.06,0.0,20.0,20.0,2024-01-08 20:00:00,107.06,0.0
21,75.5,0.0,0.0,20.0,2024-01-08 21:00:00,75.5,0.0
22,50.83,0.0,0.0,20.0,2024-01-08 22:00:00,50.83,0.0
23,48.96,0.0,0.0,20.0,2024-01-08 23:00:00,48.96,0.0
0,59.06,0.0,20.0,27.777778,2024-01-09 00:00:00,59.06,8046.974
1,53.78,0.0,0.0,27.777778,2024-01-09 01:00:00,53.78,0.0
2,15.12,20.0,0.0,45.777778,2024-01-09 02:00:00,15.12,0.0
3,32.51,20.0,0.0,63.777778,2024-01-09 03:00:00,32.51,0.0
4,49.83,0.0,0.0,63.777778,2024-01-09 04:00:00,49.83,0.0
5,46.0,0.0,0.0,63.777778,2024-01-09 05:00:00,46.0,0.0
6,54.03,0.0,8.8,54.0,2024-01-09 06:00:00,54.03,0.0
7,36.46,20.0,0.0,72.0,2024-01-09 07:00:00,36.46,0.0
8,45.29,0.0,0.0,72.0,2024-01-09 08:00:00,45.29,0.0
9,44.93,0.0,0.0,72.0,2024-01-09 09:00:00,44.93,0.0
10,39.63,20.0,0.0,90.0,2024-01-09 10:00:00,39.63,0.0
11,55.85,0.0,0.0,90.0,2024-01-09 11:00:00,55.85,0.0
12,53.64,0.0,0.0,90.0,2024-01-09 12:00:00,53.64,0.0
13,60.85,0.0,0.0,90.0,2024-01-09 13:00:00,60.85,0.0
14,65.33,0.0,0.0,90.0,2024-01-09 14:00:00,65.33,0.0
15,93.6,0.0,16.2,72.0,2024-01-09 15:00:00,93.6,0.0
16,-29.52,20.0,0.0,90.0,2024-01-09 16:00:00,-29.52,0.0
17,118.96,0.0,20.0,67.777778,2024-01-09 17:00:00,118.96,0.0
18,106.44,0.0,20.0,45.555556,2024-01-09 18:00:00,106.44,0.0
19,117.77,0.0,20.0,23.333333,2024-01-09 19:00:00,117.77,0.0
20,103.53,0.0,3.0,20.0,2024-01-09 20:00:00,103.53,0.0
21,70.04,0.0,0.0,20.0,2024-01-09 21:00:00,70.04,0.0
22,61.92,0.0,0.0,20.0,2024-01-09 22:00:00,61.92,0.0
23,45.47,0.0,0.0,20.0,2024-01-09 23:00:00,45.47,0.0
0,46.72,20.0,0.0,68.0,2024-01-10 00:00:00,46.72,9502.049504650002
1,246.25,0.0,20.0,45.777778,2024-01-10 01:00:00,246.25,0.0
2,28.47,20.0,0.0,63.777778,2024-01-10 02:00:00,28.47,0.0
3,39.13,20.0,0.0,81.777778,2024-01-10 03:00:00,39.13,0.0
4,47.34,9.1358025,0.0,90.0,2024-01-10 04:00:00,47.34,0.0
5,69.53,0.0,20.0,67.777778,2024-01-10 05:00:00,69.53,0.0
6,53.51,0.0,0.0,67.777778,2024-01-10 06:00:00,53.51,0.0
7,53.16,0.0,0.0,67.777778,2024-01-10 07:00:00,53.16,0.0
8,63.75,0.0,12.4,54.0,2024-01-10 08:00:00,63.75,0.0
9,47.98,20.0,0.0,72.0,2024-01-10 09:00:00,47.98,0.0
10,38.33,20.0,0.0,90.0,2024-01-10 10:00:00,38.33,0.0
11,60.92,0.0,0.0,90.0,2024-01-10 11:00:00,60.92,0.0
12,83.91,0.0,0.0,90.0,2024-01-10 12:00:00,83.91,0.0
13,87.16,0.0,16.2,72.0,2024-01-10 13:00:00,87.16,0.0
14,54.68,20.0,0.0,90.0,2024-01-10 14:00:00,54.68,0.0
15,87.59,0.0,16.2,72.0,2024-01-10 15:00:00,87.59,0.0
16,62.31,20.0,0.0,90.0,2024-01-10 16:00:00,62.31,0.0
17,105.9,0.0,20.0,67.777778,2024-01-10 17:00:00,105.9,0.0
18,117.53,0.0,20.0,45.555556,2024-01-10 18:00:00,117.53,0.0
19,89.06,0.0,0.0,45.555556,2024-01-10 19:00:00,89.06,0.0
20,108.29,0.0,20.0,23.333333,2024-01-10 20:00:00,108.29,0.0
21,103.12,0.0,3.0,20.0,2024-01-10 21:00:00,103.12,0.0
22,64.95,0.0,0.0,20.0,2024-01-10 22:00:00,64.95,0.0
23,51.46,0.0,0.0,20.0,2024-01-10 23:00:00,51.46,0.0
0,60.12,0.0,12.6,36.0,2024-01-11 00:00:00,60.12,5680.652
1,26.2,20.0,0.0,54.0,2024-01-11 01:00:00,26.2,0.0
2,26.25,20.0,0.0,72.0,2024-01-11 02:00:00,26.25,0.0
3,30.8,20.0,0.0,90.0,2024-01-11 03:00:00,30.8,0.0
4,45.3,0.0,0.0,90.0,2024-01-11 04:00:00,45.3,0.0
5,51.09,0.0,0.0,90.0,2024-01-11 05:00:00,51.09,0.0
6,47.38,0.0,0.0,90.0,2024-01-11 06:00:00,47.38,0.0
7,50.03,0.0,0.0,90.0,2024-01-11 07:00:00,50.03,0.0
8,53.2,0.0,0.0,90.0,2024-01-11 08:00:00,53.2,0.0
9,54.79,0.0,0.0,90.0,2024-01-11 09:00:00,54.79,0.0
10,48.81,0.0,0.0,90.0,2024-01-11 10:00:00,48.81,0.0
11,60.89,0.0,0.0,90.0,2024-01-11 11:00:00,60.89,0.0
12,48.12,0.0,0.0,90.0,2024-01-11 12:00:00,48.12,0.0
13,67.06,0.0,0.0,90.0,2024-01-11 13:00:00,67.06,0.0
14,51.55,0.0,0.0,90.0,2024-01-11 14:00:00,51.55,0.0
15,91.38,0.0,0.0,90.0,2024-01-11 15:00:00,91.38,0.0
16,82.04,0.0,0.0,90.0,2024-01-11 16:00:00,82.04,0.0
17,98.98,0.0,3.0,86.666667,2024-01-11 17:00:00,98.98,0.0
18,107.49,0.0,20.0,64.444444,2024-01-11 18:00:00,107.49,0.0
19,106.68,0.0,20.0,42.222222,2024-01-11 19:00:00,106.68,0.0
20,113.95,0.0,20.0,20.0,2024-01-11 20:00:00,113.95,0.0
21,66.71,0.0,0.0,20.0,2024-01-11 21:00:00,66.71,0.0
22,42.47,0.0,0.0,20.0,2024-01-11 22:00:00,42.47,0.0
23,54.14,0.0,0.0,20.0,2024-01-11 23:00:00,54.14,0.0
0,36.71,20.0,0.0,68.0,2024-01-12 00:00:00,36.71,5700.431999999999
1,43.43,0.0,0.0,68.0,2024-01-12 01:00:00,43.43,0.0
2,48.48,0.0,0.0,68.0,2024-01-12 02:00:00,48.48,0.0
3,25.02,20.0,0.0,86.0,2024-01-12 03:00:00,25.02,0.0
4,51.87,0.0,12.6,72.0,2024-01-12 04:00:00,51.87,0.0
5,35.44,20.0,0.0,90.0,2024-01-12 05:00:00,35.44,0.0
6,55.0,0.0,16.2,72.0,2024-01-12 06:00:00,55.0,0.0
7,38.93,20.0,0.0,90.0,2024-01-12 07:00:00,38.93,0.0
8,60.95,0.0,0.0,90.0,2024-01-12 08:00:00,60.95,0.0
9,61.95,0.0,0.0,90.0,2024-01-12 09:00:00,61.95,0.0
10,48.53,0.0,0.0,90.0,2024-01-12 10:00:00,48.53,0.0
11,53.72,0.0,0.0,90.0,2024-01-12 11:00:00,53.72,0.0
12,79.42,0.0,0.0,90.0,2024-01-12 12:00:00,79.42,0.0
13,71.68,0.0,0.0,90.0,2024-01-12 13:00:00,71.68,0.0
14,91.27,0.0,0.0,90.0,2024-01-12 14:00:00,91.27,0.0
15,76.83,0.0,0.0,90.0,2024-01-12 15:00:00,76.83,0.0
16,104.25,0.0,20.0,67.777778,2024-01-12 16:00:00,104.25,0.0
17,89.52,0.0,0.0,67.777778,2024-01-12 17:00:00,89.52,0.0
18,131.46,0.0,20.0,45.555556,2024-01-12 18:00:00,131.46,0.0
19,109.81,0.0,20.0,23.333333,2024-01-12 19:00:00,109.81,0.0
20,103.69,0.0,3.0,20.0,2024-01-12 20:00:00,103.69,0.0
21,68.51,0.0,0.0,20.0,2024-01-12 21:00:00,68.51,0.0
22,75.9,0.0,0.0,20.0,2024-01-12 22:00:00,75.9,0.0
23,62.23,0.0,0.0,20.0,2024-01-12 23:00:00,62.23,0.0
0,27.8,0.0,12.6,36.0,2024-01-13 00:00:00,27.8,6176.089507399999
1,5.27,20.0,0.0,54.0,2024-01-13 01:00:00,5.27,0.0
2,14.45,20.0,0.0,72.0,2024-01-13 02:00:00,14.45,0.0
3,15.6,20.0,0.0,90.0,2024-01-13 03:00:00,15.6,0.0
4,36.82,0.0,0.0,90.0,2024-01-13 04:00:00,36.82,0.0
5,31.49,0.0,0.0,90.0,2024-01-13 05:00:00,31.49,0.0
6,35.95,0.0,0.0,90.0,2024-01-13 06:00:00,35.95,0.0
7,36.88,0.0,0.0,90.0,2024-01-13 07:00:00,36.88,0.0
8,64.01,0.0,20.0,67.777778,2024-01-13 08:00:00,64.01,0.0
9,50.27,0.0,0.0,67.777778,2024-01-13 09:00:00,50.27,0.0
10,55.87,0.0,0.0,67.777778,2024-01-13 10:00:00,55.87,0.0
11,45.66,20.0,0.0,85.777778,2024-01-13 11:00:00,45.66,0.0
12,60.92,0.0,0.0,85.777778,2024-01-13 12:00:00,60.92,0.0
13,47.7,4.691358,0.0,90.0,2024-01-13 13:00:00,47.7,0.0
14,70.91,0.0,0.0,90.0,2024-01-13 14:00:00,70.91,0.0
15,58.55,0.0,0.0,90.0,2024-01-13 15:00:00,58.55,0.0
16,87.39,0.0,3.0,86.666667,2024-01-13 16:00:00,87.39,0.0
17,84.02,0.0,0.0,86.666667,2024-01-13 17:00:00,84.02,0.0
18,113.85,0.0,20.0,64.444444,2024-01-13 18:00:00,113.85,0.0
19,122.37,0.0,20.0,42.222222,2024-01-13 19:00:00,122.37,0.0
20,88.15,0.0,20.0,20.0,2024-01-13 20:00:00,88.15,0.0
21,87.2,0.0,0.0,20.0,2024-01-13 21:00:00,87.2,0.0
22,59.18,0.0,0.0,20.0,2024-01-13 22:00:00,59.18,0.0
23,21.08,0.0,0.0,20.0,2024-01-13 23:00:00,21.08,0.0
0,37.64,0.0,0.0,50.0,2024-01-14 00:00:00,37.64,9570.87874204
1,35.52,0.0,0.0,50.0,2024-01-14 01:00:00,35.52,0.0
2,35.98,0.0,0.0,50.0,2024-01-14 02:00:00,35.98,0.0
3,31.76,20.0,0.0,68.0,2024-01-14 03:00:00,31.76,0.0
4,37.1,0.0,0.0,68.0,2024-01-14 04:00:00,37.1,0.0
5,37.95,0.0,0.0,68.0,2024-01-14 05:00:00,37.95,0.0
6,46.28,0.0,12.6,54.0,2024-01-14 06:00:00,46.28,0.0
7,30.6,20.0,0.0,72.0,2024-01-14 07:00:00,30.6,0.0
8,46.23,0.0,0.0,72.0,2024-01-14 08:00:00,46.23,0.0
9,32.75,20.0,0.0,90.0,2024-01-14 09:00:00,32.75,0.0
10,293.45,0.0,20.0,67.777778,2024-01-14 10:00:00,293.45,0.0
11,50.62,4.691358,0.0,72.0,2024-01-14 11:00:00,50.62,0.0
12,52.6,0.0,0.0,72.0,2024-01-14 12:00:00,52.6,0.0
13,48.25,20.0,0.0,90.0,2024-01-14 13:00:00,48.25,0.0
14,71.18,0.0,0.0,90.0,2024-01-14 14:00:00,71.18,0.0
15,67.5,0.0,0.0,90.0,2024-01-14 15:00:00,67.5,0.0
16,73.17,0.0,0.0,90.0,2024-01-14 16:00:00,73.17,0.0
17,71.54,0.0,0.0,90.0,2024-01-14 17:00:00,71.54,0.0
18,101.76,0.0,20.0,67.777778,2024-01-14 18:00:00,101.76,0.0
19,113.72,0.0,20.0,45.555556,2024-01-14 19:00:00,113.72,0.0
20,102.61,0.0,20.0,23.333333,2024-01-14 20:00:00,102.61,0.0
21,74.07,0.0,3.0,20.0,2024-01-14 21:00:00,74.07,0.0
22,54.12,0.0,0.0,20.0,2024-01-14 22:00:00,54.12,0.0
23,49.8,0.0,0.0,20.0,2024-01-14 23:00:00,49.8,0.0
0,36.23,20.0,0.0,68.0,2024-01-15 00:00:00,36.23,5246.696890707999
1,38.93,4.4444444,0.0,72.0,2024-01-15 01:00:00,38.93,0.0
2,33.13,20.0,0.0,90.0,2024-01-15 02:00:00,33.13,0.0
3,53.3,0.0,0.0,90.0,2024-01-15 03:00:00,53.3,0.0
4,54.59,0.0,0.0,90.0,2024-01-15 04:00:00,54.59,0.0
5,50.14,0.0,0.0,90.0,2024-01-15 05:00:00,50.14,0.0
6,76.99,0.0,16.2,72.0,2024-01-15 06:00:00,76.99,0.0
7,61.03,0.0,0.0,72.0,2024-01-15 07:00:00,61.03,0.0
8,67.8,0.0,0.0,72.0,2024-01-15 08:00:00,67.8,0.0
9,62.95,0.0,0.0,72.0,2024-01-15 09:00:00,62.95,0.0
10,53.35,20.0,0.0,90.0,2024-01-15 10:00:00,53.35,0.0
11,58.97,0.0,0.0,90.0,2024-01-15 11:00:00,58.97,0.0
12,71.21,0.0,0.0,90.0,2024-01-15 12:00:00,71.21,0.0
13,73.26,0.0,0.0,90.0,2024-01-15 13:00:00,73.26,0.0
14,91.59,0.0,0.0,90.0,2024-01-15 14:00:00,91.59,0.0
15,77.43,0.0,0.0,90.0,2024-01-15 15:00:00,77.43,0.0
16,92.79,0.0,3.0,86.666667,2024-01-15 16:00:00,92.79,0.0
17,103.01,0.0,20.0,64.444444,2024-01-15 17:00:00,103.01,0.0
18,116.6,0.0,20.0,42.222222,2024-01-15 18:00:00,116.6,0.0
19,112.17,0.0,20.0,20.0,2024-01-15 19:00:00,112.17,0.0
20,85.36,0.0,0.0,20.0,2024-01-15 20:00:00,85.36,0.0
21,57.31,0.0,0.0,20.0,2024-01-15 21:00:00,57.31,0.0
22,57.79,0.0,0.0,20.0,2024-01-15 22:00:00,57.79,0.0
23,49.07,0.0,0.0,20.0,2024-01-15 23:00:00,49.07,0.0
0,31.34,20.0,0.0,68.0,2024-01-16 00:00:00,31.34,5685.914002272
1,43.94,20.0,0.0,86.0,2024-01-16 01:00:00,43.94,0.0
2,55.31,0.0,0.0,86.0,2024-01-16 02:00:00,55.31,0.0
3,53.03,0.0,0.0,86.0,2024-01-16 03:00:00,53.03,0.0
4,52.08,0.0,0.0,86.0,2024-01-16 04:00:00,52.08,0.0
5,61.44,0.0,0.0,86.0,2024-01-16 05:00:00,61.44,0.0
6,49.12,4.4444444,0.0,90.0,2024-01-16 06:00:00,49.12,0.0
7,54.5,0.0,0.0,90.0,2024-01-16 07:00:00,54.5,0.0
8,68.5,0.0,0.0,90.0,2024-01-16 08:00:00,68.5,0.0
9,57.11,0.0,0.0,90.0,2024-01-16 09:00:00,57.11,0.0
10,62.59,0.0,0.0,90.0,2024-01-16 10:00:00,62.59,0.0
11,90.68,0.0,0.0,90.0,2024-01-16 11:00:00,90.68,0.0
12,71.45,0.0,0.0,90.0,2024-01-16 12:00:00,71.45,0.0
13,97.52,0.0,16.2,72.0,2024-01-16 13:00:00,97.52,0.0
14,59.25,20.0,0.0,90.0,2024-01-16 14:00:00,59.25,0.0
15,75.39,0.0,0.0,90.0,2024-01-16 15:00:00,75.39,0.0
